filename,final_bounding_area,runtime
LBMA_0.txt,98,17
LBMA_1.txt,78,6
LBMA_2.txt,252,15
LBMA_3.txt,253,21
LBMA_4.txt,175,10
LBMA_7.txt,180,12
LBMA_8.txt,240,17
LBMA_11.txt,299,18
LBMA_13.txt,112,17
LBMA_14.txt,126,10
LBMA_16.txt,136,10
LBMA_19.txt,275,21
LBMA_20.txt,100,9
LBMA_21.txt,70,6
LBMA_22.txt,288,18
LBMA_23.txt,85,6
LBMA_24.txt,140,10
LBMA_25.txt,75,5
LBMA_26.txt,266,17
LBMA_28.txt,75,12
LBMA_30.txt,52,9
LBMA_32.txt,168,11
LBMA_33.txt,96,7
LBMA_34.txt,168,9
LBMA_36.txt,105,8
LBMA_37.txt,114,6
LBMA_38.txt,207,12
LBMA_39.txt,36,4
LBMA_40.txt,128,10
LBMA_41.txt,275,22
LBMA_42.txt,90,8
LBMA_43.txt,51,4
LBMA_44.txt,65,11
LBMA_45.txt,299,25
LBMA_46.txt,112,10
LBMA_47.txt,75,6
LBMA_49.txt,216,15
LBMA_51.txt,225,15
LBMA_53.txt,184,13
LBMA_54.txt,135,10
LBMA_56.txt,90,7
LBMA_58.txt,220,13
LBMA_59.txt,45,6
